source_id,channel_id,channel_name,channel_type,endpoint,radar,editorial_function,verification_status,notes
EUROSTAT,EUROSTAT-SDMX21-001,Eurostat SDMX 2.1,API,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/,DATA RADAR,structured statistical retrieval,PENDING,Technical endpoint requires periodic validation
EUROSTAT,EUROSTAT-RSS-001,Eurostat RSS updates,FEED,RSS update feed,DATA RADAR,detect dataset/publication updates,PENDING,Feed endpoint should be checked before production use
BIS,BIS-DATA-001,BIS data feed,DATA,BIS statistics data services,MARKET RADAR,monetary and financial statistics,PENDING,Verify current machine-readable access path
BIS,BIS-CALENDAR-001,BIS release calendar,FEED,BIS statistical release calendar,MARKET RADAR,scheduled release detection,PENDING,Calendar is a timing source not independent corroboration
EIOPA,EIOPA-RFR-001,Risk-Free Interest Rate Term Structures,DATA,EIOPA technical data publication,RISK/MARKET RADAR,insurance market technical data,PENDING,Validate current monthly publication endpoint
EIOPA,EIOPA-SAECC-001,Symmetric Adjustment of Equity Capital Charge,DATA,EIOPA technical data publication,RISK/MARKET RADAR,market-risk regulatory indicator,PENDING,Validate current technical publication endpoint
BLS,BLS-FEED-001,BLS latest releases feed,FEED,BLS release/latest RSS or feed,ECONOMIC RADAR,labour and price release detection,PENDING,Endpoint must be rechecked periodically
AEMET,AEMET-CAP-001,AEMET CAP alerts,ALERT,CAP alert service,ALERT RADAR,weather and emergency alert detection,PENDING,Use official alerting authority data where available
AEMET,AEMET-RSS-001,AEMET RSS,FEED,RSS feeds,ALERT RADAR,weather bulletin detection,PENDING,Feed availability can vary by product
FAO,FAO-STAT-001,FAOSTAT,DATA,FAOSTAT data platform,FOOD/AGRICULTURE RADAR,food agriculture fisheries statistics,PENDING,Dataset methodology and release dates must be retained
WHO,WHO-GHO-001,Global Health Observatory,DATA,GHO data platform,HEALTH RADAR,health indicators and datasets,PENDING,Prefer indicator metadata and original series
WHO,WHO-DON-001,Disease Outbreak News,FEED,WHO outbreak publication channel,HEALTH/ALERT RADAR,outbreak event detection,PENDING,Primary institutional bulletin; verify publication endpoint
UNICEF,UNICEF-DATA-001,UNICEF Data,DATA,UNICEF Data platform,SOCIAL/CHILDREN RADAR,children and social indicators,PENDING,Retain dataset definitions and update dates
UNICEF,UNICEF-EMERG-001,UNICEF Emergencies,ALERT,UNICEF emergency updates,HUMANITARIAN RADAR,humanitarian situation detection,PENDING,Institutional situation reporting
UNHCR,UNHCR-ODP-001,Operational Data Portal,DATA,UNHCR operational data platform,MIGRATION/HUMANITARIAN RADAR,displacement operational data,PENDING,Check dataset version and update timestamp
UNHCR,UNHCR-RDF-001,Refugee Data Finder,DATA,UNHCR Refugee Data Finder,MIGRATION RADAR,refugee displacement statistics,PENDING,Historical and current datasets require version control
UNFPA,UNFPA-DATA-001,UNFPA Data,DATA,UNFPA data platform,DEMOGRAPHIC RADAR,population and reproductive health indicators,PENDING,Validate current API/download options
UNESCO,UNESCO-UIS-001,UNESCO Institute for Statistics,DATA,UIS data platform,EDUCATION RADAR,education science culture indicators,PENDING,Retain methodology and metadata
UNEP,UNEP-DATA-001,UNEP Environment Data,DATA,UNEP data platform,ENVIRONMENTAL RADAR,environmental indicators,PENDING,Validate current dataset access
EUROPEAN-COMMISSION,EC-SOCIAL-DATA-001,European Commission social protection datasets,DATA,European Commission social data services,SOCIAL RADAR,social protection and inclusion data,PENDING,Specific dataset endpoints vary by programme
